review,label,hindi,back_translated,bleu_score,quality_flag,predicted_label,sentiment_preserved
A refreshing take on a tired genre. Don't miss this one.,Positive,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। इसे मत चूकिए.,A refreshing take on a tired genre. Don't miss it.,0.7964,PASS,Positive,True
This movie is a triumph in every sense. Highly recommended for everyone.,Positive,यह फिल्म हर दृष्टि से एक विजय है। सभी के लिए अत्यधिक अनुशंसित.,This film is a triumph in every sense. Highly recommended for all.,0.7293,PASS,Positive,True
I was completely blown away by this film. Don't miss this one.,Positive,मैं इस फिल्म से पूरी तरह अभिभूत हो गया था। इसे मत चूकिए.,I was completely enthralled by this film. Don't miss it.,0.4301,PASS,Positive,True
Standard fare for this type of movie. Good for a one-time watch.,Positive,इस प्रकार की फ़िल्म के लिए मानक किराया. एक बार देखने के लिए अच्छा है।,Standard fare for this type of movie. Nice to see once.,0.5211,PASS,Neutral,False
This movie is a triumph in every sense. Don't miss this one.,Positive,यह फिल्म हर दृष्टि से एक विजय है। इसे मत चूकिए.,This film is a triumph in every sense. Don't miss it.,0.6382,PASS,Positive,True
"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.",Positive,हर दृश्य में कमाई हुई महसूस हुई और शुरुआती दृश्य दिल छू लेने वाला था। एक सिनेमाई उत्कृष्ट कृति.,Every scene felt earned and the opening scene was heart-touching. A cinematic masterpiece.,0.4759,PASS,Positive,True
An absolute joy to watch from start to finish. Highly recommended for everyone.,Positive,शुरू से अंत तक देखने में परम आनंद आया। सभी के लिए अत्यधिक अनुशंसित.,An absolute joy to watch from beginning to end. Highly recommended for all.,0.4974,PASS,Positive,True
An absolute joy to watch from start to finish. Two thumbs way up.,Positive,शुरू से अंत तक देखने में परम आनंद आया। दो अंगूठे ऊपर की ओर.,An absolute joy to watch from beginning to end. Two thumbs up.,0.4565,PASS,Positive,True
It perfectly balances humor and drama. This movie is a triumph in every sense.,Positive,यह हास्य और नाटक को पूरी तरह संतुलित करता है। यह फिल्म हर दृष्टि से एक विजय है।,It balances comedy and drama perfectly. This film is a triumph in every sense.,0.3975,PASS,Positive,True
It perfectly balances humor and drama. I was hooked from the very first minute.,Positive,यह हास्य और नाटक को पूरी तरह संतुलित करता है। मैं पहले मिनट से ही आदी हो गया था।,It balances comedy and drama perfectly. I was hooked from the first minute.,0.3367,PASS,Positive,True
"The lead actor delivered a flawless performance. Finally, a movie that respects the audience.",Positive,"मुख्य अभिनेता ने बेहतरीन अभिनय किया। अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है।","The lead actor did a great job. Ultimately, a film that respects the audience.",0.2738,FAIL,Positive,True
"Wow, just wow. The chemistry between the cast was refreshing. Two thumbs way up.",Positive,"वाह, बस वाह. कलाकारों के बीच की केमिस्ट्री ताज़ा थी। दो अंगूठे ऊपर की ओर.","Wow, just wow. The chemistry between the actors was refreshing. Two thumbs up.",0.6344,PASS,Positive,True
It perfectly balances humor and drama. I was completely blown away by this film.,Positive,यह हास्य और नाटक को पूरी तरह संतुलित करता है। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It balances comedy and drama perfectly. I was completely enthralled by this film.,0.1325,FAIL,Positive,True
I was hooked from the very first minute. It deserves all the awards it's getting.,Positive,मैं पहले मिनट से ही आदी हो गया था। यह इसे मिलने वाले सभी पुरस्कारों का हकदार है।,I was hooked from the first minute. It deserves all the awards it gets.,0.6515,PASS,Positive,True
I didn't expect to enjoy this as much as I did. Highly recommended for everyone.,Positive,मुझे उम्मीद नहीं थी कि मुझे इसका इतना आनंद मिलेगा। सभी के लिए अत्यधिक अनुशंसित.,I didn't expect to enjoy it so much. Highly recommended for all.,0.3302,PASS,Positive,True
I was hooked from the very first minute. I can't wait to see it again.,Positive,मैं पहले मिनट से ही आदी हो गया था। मैं इसे दोबारा देखने के लिए इंतजार नहीं कर सकता.,I was hooked from the first minute. I can't wait to see it again.,0.8052,PASS,Positive,True
The lead actor delivered a gripping performance. I was hooked from the very first minute.,Positive,मुख्य अभिनेता ने मनोरंजक प्रदर्शन किया। मैं पहले मिनट से ही आदी हो गया था।,The lead actor gave an entertaining performance. I was hooked from the first minute.,0.4508,PASS,Positive,True
I was hooked from the very first minute. Do yourself a favor and go see this.,Positive,मैं पहले मिनट से ही आदी हो गया था। अपने आप पर एक एहसान करो और इसे देखने जाओ।,I was hooked from the first minute. Do yourself a favor and go see it.,0.7487,PASS,Positive,True
The lead actor delivered a memorable performance. An absolute joy to watch from start to finish.,Positive,मुख्य अभिनेता ने यादगार प्रदर्शन किया। शुरू से अंत तक देखने में परम आनंद आया।,The lead actor gave a memorable performance. An absolute joy to watch from beginning to end.,0.6148,PASS,Positive,True
This movie is a triumph in every sense. I will be thinking about this for days.,Positive,यह फिल्म हर दृष्टि से एक विजय है। मैं कई दिनों तक इस बारे में सोचता रहूंगा.,This film is a triumph in every sense. I will be thinking about this for days.,0.8762,PASS,Positive,True
"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.",Positive,"यह बहुत अधिक प्रयास किए बिना दोषरहित होने में कामयाब रहा। अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है।","It managed to be flawless without trying too hard. Ultimately, a film that respects the audience.",0.6865,PASS,Positive,True
"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.",Positive,"वाह, बस वाह. यह हास्य और नाटक को पूरी तरह संतुलित करता है। इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. It balances comedy and drama perfectly. A must-watch for fans of the genre.",0.5533,PASS,Positive,True
"Wow, just wow. The chemistry between the cast was refreshing. A must-watch for fans of the genre.",Positive,"वाह, बस वाह. कलाकारों के बीच की केमिस्ट्री ताज़ा थी। इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. The chemistry between the actors was refreshing. A must-watch for fans of the genre.",0.8282,PASS,Positive,True
It managed to be breathtaking without trying too hard. I was completely blown away by this film.,Positive,यह बहुत अधिक प्रयास किए बिना लुभावनी होने में कामयाब रहा। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It managed to be breathtaking without trying too hard. I was completely enthralled by this film.,0.766,PASS,Positive,True
A cinematic masterpiece. The lead actor delivered a touching performance. A must-watch for fans of the genre.,Positive,एक सिनेमाई उत्कृष्ट कृति. मुख्य अभिनेता ने मार्मिक प्रदर्शन किया। इस शैली के प्रशंसकों के लिए अवश्य देखें।,A cinematic masterpiece. The lead actor gave a touching performance. A must-watch for fans of the genre.,0.8282,PASS,Positive,True
It managed to be phenomenal without trying too hard. I was completely blown away by this film.,Positive,बिना ज्यादा मेहनत किए यह अभूतपूर्व होने में कामयाब रहा। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It managed to be phenomenal without trying too hard. I was completely enthralled by this film.,0.766,PASS,Positive,True
"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.",Positive,"वाह, बस वाह. हर दृश्य में कमाई हुई महसूस हुई, और पोशाक डिजाइन उत्कृष्ट था। दो अंगूठे ऊपर की ओर.","Wow, just wow. Every scene felt earned, and the costume design was excellent. Two thumbs up.",0.7331,PASS,Positive,True
The visual effects were delightful and added so much depth. I was hooked from the quite first minute.,Positive,दृश्य प्रभाव आनंददायक थे और इसमें बहुत अधिक गहराई शामिल थी। मैं पहले मिनट से ही आदी हो गया था।,The visual effects were enjoyable and added a lot of depth. I was hooked from the first minute.,0.4625,PASS,Positive,True
The visual effects were stellar and added so much depth. I was hooked from the very first minute.,Positive,दृश्य प्रभाव शानदार थे और इसमें बहुत अधिक गहराई थी। मैं पहले मिनट से ही आदी हो गया था।,The visual effects were spectacular and had a lot of depth. I was hooked from the first minute.,0.4422,PASS,Positive,True
I was completely blown away by this film. The opening scene was absolutely compelling. Don't miss this one.,Positive,मैं इस फिल्म से पूरी तरह अभिभूत हो गया था। शुरूआती दृश्य बिल्कुल सम्मोहक था। इसे मत चूकिए.,I was completely enthralled by this film. The opening scene was absolutely mesmerizing. Don't miss it.,0.5014,PASS,Positive,True
Total garbage. A complete misfire.,Negative,कुल कचरा. एक पूर्ण मिसफायर.,Total garbage. A complete misfire.,1.0,PASS,Negative,True
Total garbage. Do not bother.,Negative,कुल कचरा. ध्यान न देना।,Total garbage. neglect.,0.1234,FAIL,Negative,True
Total garbage. I walked out halfway through.,Negative,कुल कचरा. मैं आधे रास्ते से बाहर चला गया।,Total garbage. I walked out halfway.,0.6432,PASS,Negative,True
The soundtrack was frankly disjointed. Total garbage.,Negative,साउंडट्रैक स्पष्ट रूप से असंबद्ध था। कुल कचरा.,The soundtrack was apparently unconvincing. Total garbage.,0.2056,FAIL,Negative,True
A frustrating experience. Avoid this at all costs.,Negative,एक निराशाजनक अनुभव. इससे हर कीमत पर बचें.,A disappointing experience. Avoid this at all costs.,0.7071,PASS,Negative,True
The opening scene was frankly unbearable. Total garbage.,Negative,शुरूआती दृश्य सचमुच असहनीय था। कुल कचरा.,The initial scene was truly unbearable. Total garbage.,0.1809,FAIL,Negative,True
The screenplay was frankly pretentious. A frustrating experience.,Negative,पटकथा स्पष्ट रूप से दिखावटी थी। एक निराशाजनक अनुभव.,The script was clearly pretentious. A disappointing experience.,0.0739,FAIL,Negative,True
Total garbage. Save your money and watch something else.,Negative,कुल कचरा. अपना पैसा बचाएं और कुछ और देखें।,Total garbage. Save your money and watch something else.,1.0,PASS,Negative,True
The CGI distracted me from everything else. Total garbage.,Negative,सीजीआई ने मेरा ध्यान बाकी सभी चीजों से हटा दिया। कुल कचरा.,The CGI distracted me from everything else. Total garbage.,1.0,PASS,Negative,True
Total garbage. Zero stars if I could give it.,Negative,कुल कचरा. यदि मैं इसे दे सकूं तो शून्य सितारे।,Total garbage. Zero stars if I could give it.,1.0,PASS,Negative,True
A strange experience overall. It’s definitely not for everyone.,Negative,कुल मिलाकर एक अजीब अनुभव. यह निश्चित रूप से हर किसी के लिए नहीं है।,Overall a strange experience. It's definitely not for everyone.,0.3549,PASS,Neutral,False
An absolute train wreck of a movie. Utterly disappointing.,Negative,किसी फिल्म का बिल्कुल रेल हादसा। एकदम निराशाजनक.,Quite the trainwreck of a movie. Absolutely disappointing.,0.1304,FAIL,Negative,True
A frustrating experience. Zero stars if I could give it.,Negative,एक निराशाजनक अनुभव. यदि मैं इसे दे सकूं तो शून्य सितारे।,A disappointing experience. Zero stars if I could give it.,0.7825,PASS,Negative,True
The trailer was better than the movie. Do not bother.,Negative,फिल्म से बेहतर ट्रेलर था. ध्यान न देना।,The trailer was better than the movie. neglect.,0.6549,PASS,Negative,True
An absolute train wreck of a movie. A complete misfire.,Negative,किसी फिल्म का बिल्कुल रेल हादसा। एक पूर्ण मिसफायर.,Quite the trainwreck of a movie. A complete misfire.,0.5256,PASS,Negative,True
A cinematic masterpiece. A must-watch for fans of the genre.,Negative,एक सिनेमाई उत्कृष्ट कृति. इस शैली के प्रशंसकों के लिए अवश्य देखें।,A cinematic masterpiece. A must-watch for fans of the genre.,1.0,PASS,Positive,False
A refreshing take on a tired genre. A definitive 10/10.,Negative,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। एक निश्चित 10/10.,A refreshing take on a tired genre. A definite 10/10.,0.7825,PASS,Positive,False
I struggled to sit through the first half. A complete misfire.,Negative,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। एक पूर्ण मिसफायर.,I struggled to sit for the first half. A complete misfire.,0.7017,PASS,Negative,True
I particularly loved how the lighting was handled. A cinematic masterpiece.,Negative,मुझे विशेष रूप से पसंद आया कि प्रकाश व्यवस्था को कैसे संभाला गया। एक सिनेमाई उत्कृष्ट कृति.,I especially liked how the lighting was handled. A cinematic masterpiece.,0.6989,PASS,Positive,False
Nothing about the acting worked. What a complete waste of potential.,Negative,अभिनय को लेकर कोई बात काम नहीं आई। क्षमता की कितनी पूर्ण बर्बादी है।,Nothing worked regarding acting. What a complete waste of potential.,0.4862,PASS,Negative,True
I struggled to sit through the first half. Do not bother.,Negative,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। ध्यान न देना।,I struggled to sit for the first half. neglect.,0.3457,PASS,Negative,True
A cinematic masterpiece. Do yourself a favor and go see this.,Negative,एक सिनेमाई उत्कृष्ट कृति. अपने आप पर एक एहसान करो और इसे देखने जाओ।,A cinematic masterpiece. Do yourself a favor and go see it.,0.8932,PASS,Positive,False
"Neither good nor bad, just exists. It is what it is.",Negative,"न अच्छा, न बुरा, बस अस्तित्व में है। जो है सो है।","Neither good, nor bad, just exists. It is what it is.",0.8071,PASS,Neutral,False
The direction was frankly uninspired. I want my two hours back.,Negative,दिशा स्पष्ट रूप से उदासीन थी। मुझे अपने दो घंटे वापस चाहिए।,Disha was clearly disinterested. I want my two hours back.,0.4862,PASS,Negative,True
Nothing about the direction worked. What a complete waste of potential.,Negative,दिशा के बारे में कुछ भी काम नहीं आया. क्षमता की कितनी पूर्ण बर्बादी है।,Nothing about direction worked. What a complete waste of potential.,0.7517,PASS,Negative,True
I have never been so bored in my life. Utterly disappointing.,Negative,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। एकदम निराशाजनक.,I have never been so bored in my life. Absolutely disappointing.,0.8071,PASS,Negative,True
What a complete waste of potential. It’s a hard pass from me.,Negative,क्षमता की कितनी पूर्ण बर्बादी है। यह मेरे लिए एक कठिन मार्ग है।,What a complete waste of potential. This is a difficult path for me.,0.409,PASS,Negative,True
I have never been so bored in my life. Do not bother.,Negative,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। ध्यान न देना।,I have never been so bored in my life. neglect.,0.7206,PASS,Negative,True
"Simply put, this is cinema at its finest. Two thumbs way up.",Negative,सीधे शब्दों में कहें तो यह सिनेमा अपने चरम पर है। दो अंगूठे ऊपर की ओर.,"Simply put, this is cinema at its peak. Two thumbs up.",0.5921,PASS,Positive,False
I have mixed feelings about this one. Good for a one-time watch.,Negative,इसके बारे में मेरी मिश्रित भावनाएँ हैं। एक बार देखने के लिए अच्छा है।,I have mixed feelings about it. Nice to see once.,0.3216,PASS,Neutral,False
Nothing about the cinematography worked. The trailer was better than the movie.,Negative,सिनेमैटोग्राफी के बारे में कुछ भी काम नहीं आया। फिल्म से बेहतर ट्रेलर था.,Nothing about the cinematography worked. The trailer was better than the movie.,1.0,PASS,Negative,True
I want my two hours back. It’s a hard pass from me.,Negative,मुझे अपने दो घंटे वापस चाहिए। यह मेरे लिए एक कठिन मार्ग है।,I want my two hours back. This is a difficult path for me.,0.409,PASS,Negative,True
"It doesn't leave a lasting impression. Neither good nor bad, just exists.",Negative,"यह कोई स्थायी प्रभाव नहीं छोड़ता. न अच्छा, न बुरा, बस अस्तित्व में है।","It does not leave any lasting effect. Neither good, nor bad, just exists.",0.23,FAIL,Neutral,False
I have never been so bored in my life. A complete misfire.,Negative,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। एक पूर्ण मिसफायर.,I have never been so bored in my life. A complete misfire.,1.0,PASS,Negative,True
I struggled to sit through the first half. Avoid this at all costs.,Negative,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। इससे हर कीमत पर बचें.,I struggled to sit for the first half. Avoid this at all costs.,0.7612,PASS,Negative,True
"The visuals were iconic, but the story was confusing. A strange experience overall.",Negative,"दृश्य प्रतिष्ठित थे, लेकिन कहानी भ्रमित करने वाली थी। कुल मिलाकर एक अजीब अनुभव.","The visuals were iconic, but the story was confusing. Overall a strange experience.",0.7016,PASS,Neutral,False
"Neither good nor bad, just exists. If you're bored, give it a shot.",Negative,"न अच्छा, न बुरा, बस अस्तित्व में है। यदि आप ऊब गए हैं, तो इसे एक बार आज़माएँ।","Neither good, nor bad, just exists. If you are bored, give it a try.",0.4572,PASS,Neutral,False
"The visuals were refreshing, but the story was dull. A strange experience overall.",Negative,"दृश्य ताज़ा थे, लेकिन कहानी नीरस थी। कुल मिलाकर एक अजीब अनुभव.","The visuals were fresh, but the story was dull. Overall a strange experience.",0.425,PASS,Neutral,False
I want my two hours back. Zero stars if I could give it.,Negative,मुझे अपने दो घंटे वापस चाहिए। यदि मैं इसे दे सकूं तो शून्य सितारे।,I want my two hours back. Zero stars if I could give it.,1.0,PASS,Negative,True
I couldn't get past the unbearable lighting. What a complete waste of potential.,Negative,मैं असहनीय रोशनी से पार नहीं पा सका। क्षमता की कितनी पूर्ण बर्बादी है।,I couldn't overcome the unbearable light. What a complete waste of potential.,0.4744,PASS,Negative,True
A strange experience overall. A polarizing experience for sure.,Neutral,कुल मिलाकर एक अजीब अनुभव. निश्चित रूप से एक ध्रुवीकरण अनुभव।,Overall a strange experience. Certainly a polarizing experience.,0.0733,FAIL,Neutral,True
"The screenplay was okay, but forgettable. It was... fine.",Neutral,"पटकथा ठीक थी, लेकिन भूलने योग्य थी। यह... ठीक था.","The script was okay, but forgettable. It was...okay.",0.4775,PASS,Neutral,True
"Neither good nor bad, just exists. Acceptable, but forgettable.",Neutral,"न अच्छा, न बुरा, बस अस्तित्व में है। स्वीकार्य, लेकिन भूलने योग्य.","Neither good, nor bad, just exists. Acceptable, but forgettable.",0.7506,PASS,Neutral,True
It doesn't leave a lasting impression. It was... fine.,Neutral,यह कोई स्थायी प्रभाव नहीं छोड़ता. यह... ठीक था.,It does not leave any lasting effect. It was...okay.,0.0339,FAIL,Neutral,True
I have mixed feelings about this one. 6/10 at best.,Neutral,इसके बारे में मेरी मिश्रित भावनाएँ हैं। सर्वोत्तम रूप से 6/10.,I have mixed feelings about it. 6/10 at best.,0.5342,PASS,Neutral,True
"The soundtrack was decent, but nothing special. It was... fine.",Neutral,"साउंडट्रैक अच्छा था, लेकिन कुछ खास नहीं। यह... ठीक था.","The soundtrack was good, but nothing special. It was...okay.",0.3863,PASS,Neutral,True
"It was... fine. If you're bored, give it a shot.",Neutral,"यह... ठीक था. यदि आप ऊब गए हैं, तो इसे एक बार आज़माएँ।","It was...okay. If you are bored, give it a try.",0.2907,FAIL,Neutral,True
"The pacing was okay, but forgettable. Middle of the road entertainment.",Neutral,"गति ठीक थी, लेकिन भूलने योग्य थी। बीच सड़क मनोरंजन.","The pacing was fine, but forgettable. Beach street entertainment.",0.1251,FAIL,Neutral,True
It follows the standard formula without taking risks. It was... fine.,Neutral,यह जोखिम उठाए बिना मानक फॉर्मूले का पालन करता है। यह... ठीक था.,It follows the standard formula without taking risks. It was...okay.,0.7964,PASS,Neutral,True
"Great concept, but the execution was wooden. A strange experience overall.",Neutral,"महान अवधारणा, लेकिन कार्यान्वयन लकड़ी का था। कुल मिलाकर एक अजीब अनुभव.","Great concept, but the execution was wooden. Overall a strange experience.",0.6316,PASS,Neutral,True
It doesn't leave a lasting impression. Middle of the road entertainment.,Neutral,यह कोई स्थायी प्रभाव नहीं छोड़ता. बीच सड़क मनोरंजन.,It does not leave any lasting effect. Beach street entertainment.,0.027,FAIL,Neutral,True
I am confused about how I feel. It left me puzzled.,Neutral,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। इसने मुझे हैरान कर दिया।,I'm confused about how I feel. This surprised me.,0.3574,PASS,Neutral,True
I am confused about how I feel. Your mileage may vary significantly.,Neutral,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। आपका माइलेज काफी भिन्न हो सकता है।,I'm confused about how I feel. Your mileage may vary greatly.,0.7178,PASS,Neutral,True
"The score was serviceable, but nothing special. Middle of the road entertainment.",Neutral,"स्कोर ठीक था, लेकिन कुछ खास नहीं। बीच सड़क मनोरंजन.","The score was okay, but nothing special. Beach street entertainment.",0.1495,FAIL,Neutral,True
"The direction was typical, but nothing special. Middle of the road entertainment.",Neutral,"निर्देशन सामान्य था, लेकिन कुछ खास नहीं। बीच सड़क मनोरंजन.","The direction was normal, but nothing special. Beach street entertainment.",0.1495,FAIL,Neutral,True
I am confused about how I feel. A polarizing experience for sure.,Neutral,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। निश्चित रूप से एक ध्रुवीकरण अनुभव।,I'm confused about how I feel. Certainly a polarizing experience.,0.3699,PASS,Neutral,True
This is a very difficult movie to categorize. A polarizing experience for sure.,Neutral,इसे वर्गीकृत करना बहुत कठिन फिल्म है। निश्चित रूप से एक ध्रुवीकरण अनुभव।,This is a very difficult film to classify. Certainly a polarizing experience.,0.3469,PASS,Neutral,True
I oscillated between loving and hating this film. It’s definitely not for everyone.,Neutral,मैं इस फिल्म से प्यार और नफरत के बीच झूलता रहा। यह निश्चित रूप से हर किसी के लिए नहीं है।,I oscillated between loving and hating this movie. It's definitely not for everyone.,0.6703,PASS,Neutral,True
It doesn't leave a lasting impression. It serves its purpose as popcorn filler.,Neutral,यह कोई स्थायी प्रभाव नहीं छोड़ता. यह पॉपकॉर्न फिलर के रूप में अपना उद्देश्य पूरा करता है।,It does not leave any lasting effect. It serves its purpose as a popcorn filler.,0.3168,PASS,Neutral,True
"A strange experience overall. I respect the ambition, even if it didn't fully land.",Neutral,"कुल मिलाकर एक अजीब अनुभव. मैं महत्वाकांक्षा का सम्मान करता हूं, भले ही वह पूरी तरह से जमीन पर न उतरी हो।","Overall a strange experience. I respect the ambition, even if it isn't completely off the ground.",0.4121,PASS,Neutral,True
